total_amount,shipping_address,coupon_code
600000,"1 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
700000,"2 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
800000,"3 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
900000,"4 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1000000,"5 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1100000,"6 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1200000,"7 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1300000,"8 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1400000,"9 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1500000,"10 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1600000,"11 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1700000,"12 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1800000,"13 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1900000,"14 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
2000000,"15 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
600000,"16 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
700000,"17 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
800000,"18 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
900000,"19 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1000000,"20 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1100000,"21 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1200000,"22 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1300000,"23 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1400000,"24 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1500000,"25 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1600000,"26 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1700000,"27 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1800000,"28 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1900000,"29 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
2000000,"30 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
600000,"31 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
700000,"32 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
800000,"33 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
900000,"34 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1000000,"35 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1100000,"36 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1200000,"37 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1300000,"38 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1400000,"39 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1500000,"40 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1600000,"41 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1700000,"42 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1800000,"43 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1900000,"44 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
2000000,"45 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
600000,"46 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
700000,"47 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
800000,"48 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
900000,"49 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
1000000,"50 Duong Hieu Nang, Quan HW05, TP.HCM",BIGBUY
